Name,Quantity,Component
"U1",1," Arduino Uno R3"
"Rpot1",1,"250 kΩ Potentiometer"
"SPushButton1, SPushButton2, SPushButton3",3," Pushbutton"
"RResistorPushButton1, R2",2,"330 Ω Resistor"
"UTemperature Sensor",1," Temperature Sensor [TMP36]"
"DISTDistance Sensor",1," Ultrasonic Distance Sensor (4-pin)"
"ULCD Display Screen",1," LCD 16 x 2"
"R1, R3, R4",3,"220 Ω Resistor"
